translation_error_mm,rotation_error_deg,success
0.010662482993161347,0.0,True
0.010272571901561778,0.0,True
0.011011865109036425,0.0,True
0.013796316629444812,0.0,True
0.010380109955450858,0.0,True
0.011903555697565458,0.0,True
0.01465237008878472,0.0,True
0.01870704786853319,0.0,True
0.015299200909793491,0.0,True
0.015939140657105895,0.0,True
0.014520062595951318,0.0,True
0.014526164146524884,0.0,True
0.014528014638914755,0.0,True
0.014510622408034623,0.0,True
0.014523997084614862,0.0,True
0.014520935176937385,0.0,True
0.014503047072977868,0.0,True
0.014526558473691878,0.0,True
0.014526624467106307,0.0,True
0.014526691668983058,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.014526754445542639,0.0,True
0.015119999295445469,0.0,True
0.01512006765666644,0.0,True
0.015120133834804796,0.0,True
0.015120200450738131,0.0,True
0.015120270125499219,0.0,True
0.015120341548701035,0.0,True
0.015120377151512328,0.0,True
0.015120377151512328,0.0,True
0.015120377151512328,0.0,True
